x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.702506 -0.213246 1.41382 1.56955 -0.0167559 -0.00253342 0.699746 -0.168084 1.41067 1.56761 -0.00794926 9.49562e-05
0.702625 -0.209353 1.41365 1.56961 -0.0162262 -0.00213209 0.699838 -0.164177 1.41067 1.56766 -0.00770854 7.81004e-05
0.702721 -0.205442 1.41343 1.56979 -0.0157253 -0.00179864 0.699927 -0.16028 1.41066 1.5677 -0.00747248 6.06537e-05
0.702833 -0.20151 1.41324 1.56987 -0.0152019 -0.00152722 0.700012 -0.156395 1.41065 1.56775 -0.00724171 4.26346e-05
0.702944 -0.197569 1.41302 1.57012 -0.0146382 -0.00115564 0.700094 -0.152523 1.41064 1.56779 -0.00701637 2.41271e-05
0.703069 -0.193667 1.41277 1.57014 -0.0140778 -0.000538249 0.700173 -0.148664 1.41063 1.56783 -0.00679556 5.27456e-06
0.703182 -0.189809 1.41259 1.57024 -0.0135551 -0.000128694 0.700249 -0.144818 1.41062 1.56787 -0.00657831 -1.38451e-05
0.70328 -0.185875 1.41234 1.57045 -0.0129822 0.000236236 0.70032 -0.140987 1.41061 1.56791 -0.00636513 -3.32073e-05
0.703354 -0.182045 1.41213 1.57039 -0.0124904 0.000461613 0.700389 -0.13717 1.41061 1.56794 -0.00615752 -5.2856e-05
0.703443 -0.178149 1.41194 1.57033 -0.0120248 0.000718573 0.700455 -0.133369 1.4106 1.56798 -0.00595599 -7.27927e-05
0.703527 -0.174294 1.41169 1.5704 -0.0114843 0.00117495 0.700518 -0.129585 1.41059 1.56801 -0.0057603 -9.2941e-05
0.703618 -0.170427 1.41151 1.57041 -0.0108605 0.00158485 0.700578 -0.125817 1.41059 1.56804 -0.00557096 -0.000113313
0.703728 -0.166496 1.41134 1.57073 -0.0103338 0.00194763 0.700635 -0.122067 1.41058 1.56807 -0.00538833 -0.000133926
0.703793 -0.162648 1.41113 1.57085 -0.00979809 0.00220012 0.70069 -0.118336 1.41058 1.5681 -0.00521197 -0.000154716
0.703855 -0.158802 1.41093 1.57101 -0.00923544 0.00242267 0.700742 -0.114623 1.41058 1.56812 -0.00504156 -0.000175649
0.703925 -0.154919 1.41069 1.57111 -0.0086335 0.00278261 0.700792 -0.110928 1.41057 1.56815 -0.00487648 -0.000196652
0.703984 -0.15113 1.41049 1.57104 -0.00810465 0.00314329 0.700838 -0.107252 1.41057 1.56817 -0.00471612 -0.00021766
0.704057 -0.147302 1.41028 1.57107 -0.0075324 0.00355199 0.700883 -0.103594 1.41056 1.56819 -0.00455918 -0.000238586
0.704127 -0.143477 1.41006 1.57126 -0.00690764 0.00401093 0.700924 -0.0999554 1.41056 1.56821 -0.00440516 -0.000259399
0.704171 -0.13972 1.40989 1.57127 -0.0063328 0.00424318 0.700962 -0.0963365 1.41055 1.56823 -0.00425531 -0.000280187
0.704204 -0.13592 1.40971 1.57146 -0.00583745 0.00437401 0.700998 -0.0927379 1.41055 1.56824 -0.00411058 -0.000300942
0.704239 -0.13219 1.40953 1.5715 -0.00533937 0.00458012 0.701031 -0.0891604 1.41054 1.56826 -0.00397129 -0.000321672
0.704278 -0.128401 1.40933 1.57166 -0.00480482 0.00486359 0.701062 -0.0856042 1.41054 1.56827 -0.00383751 -0.000342367
0.704293 -0.124727 1.40916 1.57157 -0.00427034 0.00505327 0.701091 -0.08207 1.41054 1.56829 -0.00370955 -0.000363025
0.704294 -0.121084 1.40898 1.57164 -0.00377474 0.00526545 0.701118 -0.0785582 1.41053 1.5683 -0.00358664 -0.000383607
0.704323 -0.117365 1.40885 1.57178 -0.00334335 0.00542327 0.701142 -0.0750696 1.41053 1.56831 -0.00346856 -0.000404114
