x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.70238 -0.475009 1.41317 1.57264 -0.00390534 -0.00648732 0.700293 -0.46193 1.4101 1.57103 -0.000233712 -3.68239e-06
0.702363 -0.473747 1.41341 1.57313 -0.00406243 -0.00712109 0.700866 -0.460608 1.41008 1.57102 1.5719e-05 6.96766e-05
0.702418 -0.472465 1.41373 1.57351 -0.00433441 -0.00779827 0.701211 -0.459358 1.40992 1.57111 6.59183e-05 8.38533e-05
0.702427 -0.471122 1.41392 1.57323 -0.00458799 -0.00823014 0.700544 -0.456748 1.41018 1.5708 7.5043e-05 -4.45499e-05
0.702472 -0.469775 1.41422 1.57334 -0.00479218 -0.00900942 0.700932 -0.455689 1.41008 1.57105 5.73633e-05 -2.74123e-05
0.702553 -0.468424 1.4145 1.5735 -0.00507475 -0.00965678 0.700583 -0.45327 1.41017 1.57082 4.19757e-05 -3.96937e-05
0.702612 -0.466976 1.41466 1.57338 -0.0053268 -0.00978977 0.70138 -0.451928 1.41002 1.57071 -0.000442238 0.00013979
0.702688 -0.465511 1.41485 1.57367 -0.00563645 -0.0100167 0.700421 -0.450056 1.41005 1.57111 0.000259926 -9.87197e-05
0.70273 -0.463945 1.41499 1.57356 -0.00585568 -0.0103552 0.701032 -0.448696 1.40999 1.57118 9.37705e-05 1.89604e-05
0.702783 -0.462414 1.41519 1.57378 -0.00615665 -0.0109697 0.700157 -0.446174 1.41005 1.57107 -1.0182e-05 -0.000101175
0.702814 -0.46081 1.41536 1.57434 -0.00640475 -0.011492 0.700889 -0.444694 1.41006 1.57108 3.34426e-05 -1.69619e-05
0.702866 -0.459239 1.41559 1.57462 -0.00669829 -0.0119912 0.700404 -0.442008 1.41007 1.5709 -5.68955e-05 -1.24533e-05
0.702923 -0.457519 1.41572 1.5745 -0.00683197 -0.0121388 0.70092 -0.440571 1.41005 1.57102 -4.93906e-05 4.93559e-05
0.702994 -0.45583 1.41601 1.57456 -0.0071155 -0.0126797 0.700507 -0.438 1.41015 1.57085 0.000197659 -1.5812e-05
0.703022 -0.454078 1.41618 1.5745 -0.0073433 -0.0129595 0.70105 -0.436627 1.41005 1.57106 7.0428e-05 -5.66559e-05
0.703098 -0.452297 1.41638 1.57494 -0.00755753 -0.0133814 0.700643 -0.433744 1.41012 1.5708 4.5071e-05 -6.62331e-05
0.703145 -0.450533 1.41649 1.57512 -0.00779054 -0.0135609 0.701055 -0.432436 1.41001 1.57112 5.77753e-05 -6.12289e-05
0.703161 -0.448844 1.41662 1.57533 -0.00819678 -0.0138714 0.700327 -0.429742 1.40998 1.57108 -0.000279436 -3.2029e-05
0.7032 -0.447011 1.41674 1.5751 -0.00853552 -0.0140615 0.70154 -0.427732 1.40995 1.57078 0.000439028 0.000194061
0.703234 -0.445219 1.41687 1.57526 -0.0088331 -0.0143596 0.700262 -0.425362 1.40997 1.57116 -7.25821e-06 -0.000219668
0.703286 -0.443267 1.41696 1.57526 -0.00905812 -0.014591 0.701112 -0.423529 1.40989 1.57105 3.86526e-05 0.000196467
0.703359 -0.441359 1.41718 1.5752 -0.00920541 -0.0150728 0.700392 -0.420325 1.41015 1.57086 -0.000185958 1.08998e-05
0.703361 -0.439437 1.4173 1.5753 -0.00947096 -0.0152627 0.70096 -0.418597 1.41003 1.57104 3.37971e-05 1.65391e-05
0.703445 -0.437416 1.4175 1.57543 -0.00974583 -0.0155021 0.700593 -0.415566 1.41012 1.5708 8.6106e-05 -1.68062e-05
0.703463 -0.43535 1.41761 1.57526 -0.00986637 -0.0155422 0.70111 -0.414015 1.41001 1.57112 4.83003e-05 -9.99498e-05
